age,workclass,education,marital-status,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,years_experience,skills,salary_in_inr
29,Private,Associate,Divorced,Data Analyst,Black,Male,1679,1385,53,Australia,<=50K,13,"SQL, Python, Tableau",923132
36,Local-gov,Some-college,Never-married,Data Analyst,Other,Female,3611,919,48,Canada,>50K,0,"Excel, Tableau, Python",700000
31,Self-emp-not-inc,PhD,Never-married,ML Engineer,Amer-Indian-Eskimo,Male,5881,1735,41,Australia,<=50K,1,"Pandas, Python, Scikit-learn",1012582
57,Self-emp-inc,Associate,Widowed,Web Developer,Other,Male,1139,93,51,United States,>50K,2,"CSS, HTML, Node.js",638216
51,State-gov,PhD,Married-civ-spouse,Web Developer,Asian-Pac-Islander,Male,4374,1437,59,China,>50K,19,"CSS, Node.js, HTML",1077793
46,Self-emp-inc,Associate,Widowed,Data Analyst,Asian-Pac-Islander,Male,3752,1683,31,Canada,>50K,2,"Excel, Power BI, SQL",752716
47,State-gov,HS-grad,Married-civ-spouse,Software Developer,Black,Male,9197,1103,38,China,>50K,18,"Spring, Python, Java",1061576
54,Federal-gov,Bachelors,Never-married,ML Engineer,Black,Other,2621,1622,51,Germany,>50K,12,"Pandas, MLflow, XGBoost",1218856
57,Private,Associate,Never-married,Software Developer,Asian-Pac-Islander,Male,4808,890,35,Germany,<=50K,8,"Git, C++, Python",907888
41,State-gov,Some-college,Widowed,Data Analyst,Black,Female,2646,1104,60,Australia,>50K,19,"Power BI, Tableau, SQL",959635
45,Self-emp-inc,Masters,Never-married,Data Analyst,Other,Male,1403,1498,45,India,>50K,17,"Excel, Python, Power BI",1134758
57,Self-emp-not-inc,PhD,Widowed,System Admin,Black,Other,3295,1460,39,Germany,>50K,20,"Shell Scripting, AWS, Docker",1045880
29,Self-emp-not-inc,Masters,Never-married,Web Developer,White,Other,9075,471,48,United States,<=50K,20,"HTML, CSS, Node.js",820580
43,Private,Some-college,Married-civ-spouse,Software Developer,Amer-Indian-Eskimo,Male,8834,270,53,Australia,>50K,7,"Spring, Git, Java",891630
28,State-gov,HS-grad,Divorced,System Admin,Amer-Indian-Eskimo,Female,887,1379,50,China,<=50K,12,"Shell Scripting, Linux, AWS",745336
34,Local-gov,HS-grad,Married-civ-spouse,System Admin,Black,Female,7579,511,57,India,>50K,17,"Linux, Docker, Shell Scripting",1021121
22,Private,Masters,Married-civ-spouse,System Admin,Amer-Indian-Eskimo,Female,3502,1770,42,India,<=50K,0,"AWS, Shell Scripting, Networking",550000
49,State-gov,Associate,Widowed,Business Analyst,Black,Male,4861,445,60,India,>50K,17,"Excel, Power BI, Problem Solving",947931
59,Federal-gov,Some-college,Widowed,Data Scientist,White,Other,1312,1743,35,India,>50K,7,"Machine Learning, Python, SQL",1226469
59,Local-gov,Bachelors,Widowed,ML Engineer,Amer-Indian-Eskimo,Other,9562,1157,46,Canada,>50K,6,"XGBoost, Scikit-learn, Pandas",1137814
30,State-gov,Associate,Divorced,Business Analyst,Asian-Pac-Islander,Male,152,938,49,Australia,>50K,2,"Problem Solving, SQL, Power BI",787380
30,Self-emp-inc,Bachelors,Married-civ-spouse,Web Developer,Asian-Pac-Islander,Male,7179,1707,47,China,<=50K,20,"Node.js, HTML, JavaScript",1163460
41,State-gov,Bachelors,Married-civ-spouse,Software Developer,White,Male,9064,318,38,Canada,>50K,10,"C++, Python, Spring",1060080
38,Private,Bachelors,Separated,Software Developer,White,Male,5464,1579,34,China,>50K,5,"Spring, Git, Python",851580
29,Private,Associate,Married-civ-spouse,AI Engineer,Asian-Pac-Islander,Other,9052,303,43,United States,<=50K,11,"Python, TensorFlow, Deep Learning",1399936
28,Self-emp-inc,Some-college,Separated,Data Scientist,Black,Male,2900,1805,43,India,<=50K,10,"Machine Learning, R, Statistics",1252160
28,Federal-gov,Bachelors,Separated,Data Analyst,Black,Female,5728,625,56,United States,<=50K,6,"Tableau, Power BI, Excel",773644
39,Self-emp-inc,Associate,Widowed,System Admin,Other,Female,452,236,58,Canada,<=50K,8,"Linux, Docker, Shell Scripting",743912
44,State-gov,PhD,Separated,ML Engineer,Amer-Indian-Eskimo,Other,3114,521,31,China,>50K,16,"MLflow, Scikit-learn, Pandas",1386112
26,State-gov,PhD,Widowed,Web Developer,White,Other,4920,1038,39,China,>50K,12,"JavaScript, CSS, HTML",885324
46,State-gov,Associate,Married-civ-spouse,Software Developer,Amer-Indian-Eskimo,Other,6,622,39,United States,>50K,18,"Git, Python, C++",1240568
50,State-gov,Masters,Widowed,Business Analyst,Black,Other,1389,581,46,China,>50K,10,"Excel, SQL, Power BI",951710
36,Self-emp-not-inc,Masters,Never-married,AI Engineer,Black,Female,1193,932,43,China,>50K,12,"NLP, Deep Learning, Python",1378020
22,Private,HS-grad,Married-civ-spouse,Data Scientist,Other,Female,822,1141,37,India,>50K,14,"Statistics, SQL, R",1471560
49,Local-gov,HS-grad,Married-civ-spouse,Business Analyst,Amer-Indian-Eskimo,Female,4050,1720,50,Canada,>50K,16,"Presentation, SQL, Problem Solving",1140608
26,State-gov,PhD,Married-civ-spouse,Software Developer,Asian-Pac-Islander,Female,8849,165,34,United States,<=50K,4,"C++, Java, Git",893424
43,Local-gov,HS-grad,Separated,AI Engineer,Black,Female,6381,1853,54,Australia,>50K,0,"Deep Learning, NLP, PyTorch",1200000
44,Self-emp-inc,HS-grad,Separated,Data Analyst,Amer-Indian-Eskimo,Male,4471,892,45,India,<=50K,12,"Excel, Tableau, SQL",1030024
23,Federal-gov,Some-college,Widowed,AI Engineer,White,Other,7022,277,57,Germany,<=50K,8,"NLP, TensorFlow, Python",1399192
42,Self-emp-inc,HS-grad,Divorced,System Admin,Asian-Pac-Islander,Male,7705,39,53,Australia,<=50K,11,"Networking, Linux, Shell Scripting",674509
23,Self-emp-not-inc,Masters,Never-married,Data Scientist,Black,Male,7758,1371,33,Australia,>50K,14,"SQL, Statistics, Python",1517942
60,State-gov,Associate,Never-married,Data Scientist,Asian-Pac-Islander,Male,9481,52,59,Canada,>50K,12,"Machine Learning, R, Python",1452812
37,Private,Associate,Divorced,ML Engineer,Other,Male,5688,1091,43,China,<=50K,16,"XGBoost, Python, Scikit-learn",1416992
28,Federal-gov,PhD,Separated,Data Scientist,Amer-Indian-Eskimo,Male,8548,1977,50,Canada,>50K,17,"Machine Learning, Statistics, R",1600038
39,Self-emp-inc,Masters,Never-married,Software Developer,Amer-Indian-Eskimo,Male,7613,1167,49,China,<=50K,0,"Spring, Python, Java",800000
35,Self-emp-inc,PhD,Divorced,Software Developer,Other,Other,4526,1138,30,Australia,>50K,2,"C++, Spring, Git",856384
37,State-gov,HS-grad,Separated,Business Analyst,White,Male,4820,453,42,China,<=50K,18,"Power BI, Presentation, Problem Solving",1243146
44,Federal-gov,Associate,Widowed,Web Developer,Asian-Pac-Islander,Other,7434,554,39,Canada,<=50K,6,"JavaScript, HTML, Node.js",765354
33,Self-emp-not-inc,Masters,Separated,Software Developer,Other,Other,9777,579,33,United States,<=50K,11,"C++, Python, Java",1102522
30,Self-emp-inc,Bachelors,Never-married,Software Developer,Black,Other,8042,210,57,India,>50K,15,"Spring, Git, C++",1040615
25,Self-emp-inc,HS-grad,Never-married,ML Engineer,Amer-Indian-Eskimo,Female,1213,1181,50,China,<=50K,4,"MLflow, XGBoost, Python",1072528
29,Local-gov,HS-grad,Widowed,Data Analyst,Other,Female,7381,1860,44,Canada,>50K,13,"Power BI, SQL, Python",872263
35,State-gov,Masters,Divorced,ML Engineer,Black,Male,2847,1130,32,United States,<=50K,14,"MLflow, Pandas, Scikit-learn",1154966
36,Self-emp-inc,Associate,Divorced,Business Analyst,White,Other,3824,1892,38,China,>50K,6,"Presentation, Excel, Power BI",854196
31,Self-emp-inc,Masters,Never-married,AI Engineer,Black,Female,9749,1533,56,Australia,>50K,14,"Python, NLP, TensorFlow",1479496
47,Self-emp-inc,Some-college,Widowed,Business Analyst,Amer-Indian-Eskimo,Male,9798,81,58,Germany,>50K,19,"Power BI, Excel, Presentation",1082519
58,Local-gov,Bachelors,Divorced,AI Engineer,Black,Female,8502,1334,44,Canada,<=50K,18,"NLP, Deep Learning, Python",1657218
44,Federal-gov,PhD,Divorced,ML Engineer,Black,Female,6744,1420,45,Canada,>50K,12,"MLflow, Python, Scikit-learn",1154620
42,Self-emp-inc,PhD,Never-married,System Admin,Other,Male,8889,946,43,India,<=50K,11,"Docker, AWS, Shell Scripting",819324
25,Self-emp-not-inc,PhD,Widowed,Data Scientist,Asian-Pac-Islander,Female,7941,248,30,China,>50K,7,"R, SQL, Machine Learning",1173136
57,Federal-gov,Bachelors,Married-civ-spouse,ML Engineer,Amer-Indian-Eskimo,Male,2522,1020,59,China,<=50K,8,"Pandas, MLflow, Scikit-learn",1143888
51,Local-gov,Masters,Separated,Data Analyst,Other,Other,2236,1769,32,Canada,>50K,13,"Power BI, Python, SQL",950484
41,Local-gov,Some-college,Separated,Data Scientist,Amer-Indian-Eskimo,Other,7935,706,40,Australia,>50K,12,"Machine Learning, SQL, Python",1313900
